"sol","yazi_boyutu"
"ANADOLU MAHALLESİ","49.342"
"HADIMKÖY MAHALLESİ","27.984"
"İSLAMBEY MAHALLESİ","27.838"
"ARNAVUTKÖY MERKEZ MAHALLESİ","23.571"
"YUNUS EMRE MAHALLESİ","20.759"
"MUSTAFA KEMAL PAŞA MAHALLESİ","18.855"
"YAVUZ SELİM MAHALLESİ","13.655"
"BOĞAZKÖY İSTİKLAL MAHALLESİ","13.133"
"TAŞOLUK MAHALLESİ","12.382"
"İMRAHOR MAHALLESİ","12.184"
"HARAÇÇI MAHALLESİ","12.042"
"NENEHATUN MAHALLESİ","11.868"
"KARLIBAYIR MAHALLESİ","11.576"
"HASTANE MAHALLESİ","11.483"
"ATATÜRK MAHALLESİ","11.063"
"MAVİGÖL MAHALLESİ","10.633"
"DELİKLİKAYA MAHALLESİ","8.983"
"BOLLUCA MAHALLESİ","8.496"
"MEHMET AKİF ERSOY MAHALLESİ","8.132"
"ÖMERLİ MAHALLESİ","7.619"
"MAREŞAL FEVZİ ÇAKMAK MAHALLESİ","7.423"
"ADNAN MENDERES MAHALLESİ","4.728"
"HİCRET MAHALLESİ","4.454"
"FATİH MAHALLESİ","3.995"
"TAYAKADIN MAHALLESİ","3.688"
"KARABURUN MAHALLESİ","2.018"
"YENİKÖY MAHALLESİ","1.585"
"ÇİLİNGİR MAHALLESİ","1.174"
"SAZLIBOSNA MAHALLESİ","1.096"
"YASSIÖREN MAHALLESİ","1.057"
"TERKOS MAHALLESİ","933"
"BAKLALI MAHALLESİ","873"
"BOYALIK MAHALLESİ","856"
"DURUSU MAHALLESİ","743"
"HACIMAŞLI MAHALLESİ","693"
"YEŞİLBAYIR MAHALLESİ","631"
"DURSUNKÖY MAHALLESİ","470"
"BALABAN MAHALLESİ","454"
