"sol","yazi_boyutu"
"İÇERENKÖY MAHALLESİ","69.112"
"KAYIŞDAĞI MAHALLESİ","41.203"
"ATATÜRK MAHALLESİ","33.451"
"ESATPAŞA MAHALLESİ","32.949"
"İNÖNÜ MAHALLESİ","30.860"
"BARBAROS MAHALLESİ","30.487"
"KÜÇÜKBAKKALKÖY MAHALLESİ","29.413"
"ÖRNEK MAHALLESİ","27.070"
"FERHATPAŞA MAHALLESİ","20.310"
"MEVLANA MAHALLESİ","17.403"
"MUSTAFA KEMAL MAHALLESİ","13.509"
"YENİ ÇAMLICA MAHALLESİ","12.583"
"AŞIKVEYSEL MAHALLESİ","12.389"
"FETİH MAHALLESİ","11.476"
"YENİŞEHİR MAHALLESİ","10.958"
"MİMAR SİNAN MAHALLESİ","9.591"
"YENİSAHRA MAHALLESİ","9.361"
