"sol","yazi_boyutu"
"KARTALTEPE MAHALLESİ","34.375"
"ŞENLİKKÖY MAHALLESİ","27.990"
"ATAKÖY 7-8-9-10. KISIM MAHALLESİ","25.967"
"YEŞİLKÖY MAHALLESİ","24.813"
"OSMANİYE MAHALLESİ","22.271"
"ZUHURATBABA MAHALLESİ","20.191"
"ATAKÖY 2-5-6. KISIM MAHALLESİ","14.158"
"SAKIZAĞACI MAHALLESİ","8.550"
"YEŞİLYURT MAHALLESİ","8.257"
"ATAKÖY 3-4-11. KISIM MAHALLESİ","7.685"
"YENİMAHALLE MAHALLESİ","6.364"
"BASINKÖY MAHALLESİ","5.789"
"ZEYTİNLİK MAHALLESİ","5.170"
"CEVİZLİK MAHALLESİ","5.074"
"ATAKÖY 1. KISIM MAHALLESİ","1.550"
