"sol","yazi_boyutu"
"DEMİRKAPI MAHALLESİ","54.601"
"15 TEMMUZ MAHALLESİ","49.634"
"100. YIL MAHALLESİ","44.925"
"GÜNEŞLİ MAHALLESİ","44.175"
"GÖZTEPE MAHALLESİ","40.178"
"FATİH MAHALLESİ","39.414"
"KİRAZLI MAHALLESİ","39.023"
"YILDIZTEPE MAHALLESİ","35.528"
"YENİMAHALLE MAHALLESİ","34.524"
"FEVZİ ÇAKMAK MAHALLESİ","32.776"
"ÇINAR MAHALLESİ","32.526"
"KEMALPAŞA MAHALLESİ","31.131"
"YAVUZ SELİM MAHALLESİ","26.892"
"MERKEZ MAHALLESİ","26.590"
"KAZIM KARABEKİR MAHALLESİ","26.441"
"MAHMUTBEY MAHALLESİ","25.535"
"HÜRRİYET MAHALLESİ","24.973"
"İNÖNÜ MAHALLESİ","22.370"
"YENİGÜN MAHALLESİ","20.552"
"BARBAROS MAHALLESİ","19.786"
"SANCAKTEPE MAHALLESİ","18.984"
"BAĞLAR MAHALLESİ","17.077"
