"sol","yazi_boyutu"
"KAVACIK MAHALLESİ","22.383"
"ÇUBUKLU MAHALLESİ","20.137"
"YENİ MAHALLE MAHALLESİ","18.933"
"İNCİRKÖY MAHALLESİ","16.348"
"TOKATKÖY MAHALLESİ","13.719"
"GÜMÜŞSUYU MAHALLESİ","12.968"
"ÇİĞDEM MAHALLESİ","10.849"
"SOĞUKSU MAHALLESİ","10.668"
"GÖZTEPE MAHALLESİ","9.983"
"ACARLAR MAHALLESİ","9.488"
"RÜZGARLIBAHÇE MAHALLESİ","7.879"
"ORTAÇEŞME MAHALLESİ","7.723"
"ÇAMLIBAHÇE MAHALLESİ","6.036"
"MERKEZ MAHALLESİ","5.785"
"ÇAVUŞBAŞI ÇİFTLİK MAHALLESİ","5.702"
"YAVUZ SELİM MAHALLESİ","5.552"
"ÇENGELDERE MAHALLESİ","5.407"
"YALIKÖY MAHALLESİ","5.102"
"ÖRNEKKÖY MAHALLESİ","4.345"
"FATİH MAHALLESİ","4.296"
"RİVA MAHALLESİ","3.978"
"KANLICA MAHALLESİ","3.885"
"PAŞABAHÇE MAHALLESİ","3.659"
"BAKLACI MAHALLESİ","3.260"
"ELMALI MAHALLESİ","3.133"
"AKBABA MAHALLESİ","2.762"
"ANADOLU HİSARI MAHALLESİ","2.474"
"GÖKSU MAHALLESİ","2.317"
"GÖRELE MAHALLESİ","2.029"
"CUMHURİYETKÖY MAHALLESİ","1.989"
"MAHMUTŞEVKETPAŞA MAHALLESİ","1.827"
"DERESEKİ MAHALLESİ","1.647"
"ANADOLU KAVAĞI MAHALLESİ","1.466"
"PAŞAMANDIRA MAHALLESİ","1.373"
"İSHAKLI MAHALLESİ","1.367"
"ZERZAVATÇI MAHALLESİ","1.078"
"POYRAZKÖY MAHALLESİ","881"
"KAYNARCA MAHALLESİ","772"
"ALİBAHADIR MAHALLESİ","767"
"ANADOLUFENERİ MAHALLESİ","741"
"KILIÇLI MAHALLESİ","547"
"ÖĞÜMCE MAHALLESİ","474"
"BOZHANE MAHALLESİ","470"
"POLONEZKÖY MAHALLESİ","388"
"GÖLLÜ MAHALLESİ","246"
