"sol","yazi_boyutu"
"PİYALEPAŞA MAHALLESİ","20.512"
"KAPTANPAŞA MAHALLESİ","18.630"
"PİRİPAŞA MAHALLESİ","15.303"
"HACIAHMET MAHALLESİ","14.999"
"SÜTLÜCE MAHALLESİ","13.750"
"KEÇECİ PİRİ MAHALLESİ","13.462"
"HALICIOĞLU MAHALLESİ","12.420"
"FETİHTEPE MAHALLESİ","12.301"
"ÖRNEKTEPE MAHALLESİ","11.201"
"KADIMEHMET EFENDİ MAHALLESİ","8.877"
"KULAKSIZ MAHALLESİ","8.650"
"KÜÇÜK PİYALE MAHALLESİ","8.330"
"YENİŞEHİR MAHALLESİ","5.118"
"İSTİKLAL MAHALLESİ","5.048"
"SURURİ MEHMET EFENDİ MAHALLESİ","3.886"
"FİRUZAĞA MAHALLESİ","3.675"
"YAHYA KAHYA MAHALLESİ","3.382"
"CİHANGİR MAHALLESİ","3.190"
"BÜLBÜL MAHALLESİ","2.657"
"CAMİİKEBİR MAHALLESİ","2.475"
"TOMTOM MAHALLESİ","2.410"
"KALYONCU KULLUĞU MAHALLESİ","2.304"
"KILIÇALİ PAŞA MAHALLESİ","2.132"
"ÇATMA MESCİT MAHALLESİ","2.046"
"GÜMÜŞSUYU MAHALLESİ","1.954"
"ÖMER AVNİ MAHALLESİ","1.884"
"BOSTAN MAHALLESİ","1.788"
"ÇUKUR MAHALLESİ","1.746"
"PÜRTELAŞ HASAN EFENDİ MAHALLESİ","1.738"
"KOCATEPE MAHALLESİ","1.401"
"KULOĞLU MAHALLESİ","1.349"
"ŞEHİT MUHTAR MAHALLESİ","1.178"
"HACIMİMİ MAHALLESİ","1.136"
"KATİPMUSTAFA ÇELEBİ MAHALLESİ","699"
"ŞAHKULU MAHALLESİ","680"
"KAMER HATUN MAHALLESİ","662"
"BEDRETTİN MAHALLESİ","594"
"MÜEYYETZADE MAHALLESİ","491"
"HÜSEYİNAĞA MAHALLESİ","483"
"ASMALI MESCİT MAHALLESİ","438"
"BEREKETZADE MAHALLESİ","369"
"EVLİYA ÇELEBİ MAHALLESİ","258"
"EMEKYEMEZ MAHALLESİ","168"
"KEMANKEŞ KARAMUSTAFAPAŞA MAHALLESİ","128"
"ARAP CAMİ MAHALLESİ","89"
