"sol","yazi_boyutu"
"KONAKLAR MAHALLESİ","15.699"
"DİKİLİTAŞ MAHALLESİ","14.642"
"GAYRETTEPE MAHALLESİ","12.701"
"AKAT MAHALLESİ","12.089"
"NİSBETİYE MAHALLESİ","11.004"
"ETİLER MAHALLESİ","10.290"
"TÜRKALİ MAHALLESİ","9.618"
"MECİDİYE MAHALLESİ","9.486"
"ORTAKÖY MAHALLESİ","9.031"
"VİŞNEZADE MAHALLESİ","8.320"
"ULUS MAHALLESİ","6.715"
"LEVAZIM MAHALLESİ","6.049"
"BEBEK MAHALLESİ","4.935"
"YILDIZ MAHALLESİ","4.635"
"MURADİYE MAHALLESİ","4.493"
"KÜLTÜR MAHALLESİ","4.485"
"ABBASAĞA MAHALLESİ","4.054"
"CİHANNÜMA MAHALLESİ","3.405"
"ARNAVUTKÖY MAHALLESİ","3.371"
"BALMUMCU MAHALLESİ","3.044"
"LEVENT MAHALLESİ","2.831"
"KURUÇEŞME MAHALLESİ","2.791"
"SİNANPAŞA MAHALLESİ","2.207"
