"sol","yazi_boyutu"
"PINARTEPE MAHALLESİ","23.435"
"HÜRRİYET MAHALLESİ","22.881"
"MİMAROBA MAHALLESİ","20.010"
"MURAT ÇESME MAHALLESİ","19.532"
"FATİH MAHALLESİ","17.857"
"ATATÜRK MAHALLESİ","17.157"
"ULUS MAHALLESİ","16.280"
"SİNANOBA MAHALLESİ","15.778"
"TÜRKOBA MAHALLESİ","15.138"
"EKİNOBA MAHALLESİ","14.594"
"GÜZELCE MAHALLESİ","10.765"
"KUMBURGAZ MAHALLESİ","9.799"
"KAMİLOBA MAHALLESİ","9.506"
"MİMARSİNAN MAHALLESİ","9.502"
"CUMHURİYET MAHALLESİ","8.632"
"CELALİYE MAHALLESİ","8.562"
"19 MAYIS MAHALLESİ","8.483"
"ALKENT 2000 MAHALLESİ","8.400"
"KARAAĞAÇ MAHALLESİ","6.480"
"DİZDARİYE MAHALLESİ","6.426"
"ÇAKMAKLI MAHALLESİ","5.778"
"BAHÇELİEVLER MAHALLESİ","4.600"
"YENİMAHALLE MAHALLESİ","2.569"
"AHMEDİYE MAHALLESİ","1.075"
