"sol","yazi_boyutu"
"TURGUT REİS MAHALLESİ","41.823"
"FATİH MAHALLESİ","40.022"
"NİNE HATUN MAHALLESİ","38.711"
"KAZIM KARABEKİR MAHALLESİ","33.364"
"ATIŞALANI MAHALLESİ","33.142"
"ORUÇREİS MAHALLESİ","33.090"
"TUNA MAHALLESİ","30.674"
"FEVZİ ÇAKMAK MAHALLESİ","30.328"
"MENDERES MAHALLESİ","30.138"
"BİRLİK MAHALLESİ","25.740"
"KEMER MAHALLESİ","21.230"
"NAMIK KEMAL MAHALLESİ","15.605"
"DAVUTPAŞA MAHALLESİ","15.278"
"MİMAR SİNAN MAHALLESİ","13.116"
"15 TEMMUZ MAHALLESİ","12.012"
"YAVUZ SELİM MAHALLESİ","3.517"
"ÇİFTE HAVUZLAR MAHALLESİ","2.088"
