"sol","yazi_boyutu"
"PINAR MAHALLESİ","42.721"
"MEHTERÇEŞME MAHALLESİ","37.697"
"YEŞİLKENT MAHALLESİ","37.410"
"SÜLEYMANİYE MAHALLESİ","34.649"
"MERKEZ MAHALLESİ","33.174"
"ÇINAR MAHALLESİ","31.971"
"OSMANGAZİ MAHALLESİ","30.709"
"SELAHADDİN EYYUBİ MAHALLESİ","29.837"
"BALIKYOLU MAHALLESİ","29.640"
"TALATPAŞA MAHALLESİ","29.151"
"TURGUT ÖZAL MAHALLESİ","28.564"
"BARBAROS HAYRETTİN PAŞA MAHALLESİ","28.385"
"HÜRRİYET MAHALLESİ","28.342"
"İNCİRTEPE MAHALLESİ","28.130"
"ÜÇEVLER MAHALLESİ","27.861"
"FATİH MAHALLESİ","27.695"
"AKÇABURGAZ MAHALLESİ","27.530"
"MEHMET AKİF ERSOY MAHALLESİ","26.809"
"İNÖNÜ MAHALLESİ","26.737"
"ZAFER MAHALLESİ","24.513"
"SAADETDERE MAHALLESİ","24.511"
"NAMIK KEMAL MAHALLESİ","23.674"
"YENİKENT MAHALLESİ","23.452"
"SULTANİYE MAHALLESİ","23.330"
"YUNUS EMRE MAHALLESİ","22.691"
"ÖRNEK MAHALLESİ","20.518"
"NECİP FAZIL KISAKÜREK MAHALLESİ","20.015"
"ORHAN GAZİ MAHALLESİ","19.205"
"İSTİKLAL MAHALLESİ","18.702"
"GÜZELYURT MAHALLESİ","17.956"
"BATTALGAZİ MAHALLESİ","17.733"
"GÖKEVLER MAHALLESİ","17.691"
"PİRİ REİS MAHALLESİ","17.057"
"ŞEHİTLER MAHALLESİ","16.868"
"ATATÜRK MAHALLESİ","15.875"
"AŞIK VEYSEL MAHALLESİ","15.543"
"MEVLANA MAHALLESİ","14.560"
"CUMHURİYET MAHALLESİ","14.447"
"AKEVLER MAHALLESİ","12.761"
"KOZA MAHALLESİ","10.025"
"ESENKENT MAHALLESİ","9.351"
"ARDIÇLI MAHALLESİ","8.322"
"AKŞEMSEDDİN MAHALLESİ","8.093"
