"sol","yazi_boyutu"
"GÖKTÜRK MERKEZ MAHALLESİ","39.863"
"YEŞİLPINAR MAHALLESİ","39.140"
"AKŞEMSETTİN MAHALLESİ","38.460"
"ÇIRÇIR MAHALLESİ","37.389"
"GÜZELTEPE MAHALLESİ","33.813"
"KARADOLAP MAHALLESİ","31.766"
"ESENTEPE MAHALLESİ","22.059"
"DÜĞMECİLER MAHALLESİ","17.587"
"İSLAMBEY MAHALLESİ","16.014"
"NİŞANCI MAHALLESİ","14.854"
"RAMİ YENİ MAHALLESİ","14.843"
"RAMİ CUMA MAHALLESİ","14.639"
"ALİBEYKÖY MAHALLESİ","13.888"
"5.LEVENT MAHALLESİ","13.258"
"MERKEZ MAHALLESİ","11.858"
"EMNİYETTEPE MAHALLESİ","10.968"
"SAKARYA MAHALLESİ","10.915"
"SİLAHTARAĞA MAHALLESİ","10.166"
"MİTHATPAŞA MAHALLESİ","9.663"
"MİMAR SİNAN MAHALLESİ","7.449"
"TOPÇULAR MAHALLESİ","5.324"
"DEFTERDAR MAHALLESİ","4.601"
"PİRİNÇÇİ MAHALLESİ","3.514"
"AKPINAR MAHALLESİ","1.155"
"AĞAÇLI MAHALLESİ","815"
"IŞIKLAR MAHALLESİ","604"
"ODAYERİ MAHALLESİ","247"
"ÇİFTALAN MAHALLESİ","193"
"İHSANİYE MAHALLESİ","171"
