"sol","yazi_boyutu"
"SEYYİD ÖMER MAHALLESİ","23.592"
"HIRKA-İ ŞERİF MAHALLESİ","20.502"
"ŞEHREMİNİ MAHALLESİ","19.595"
"AKŞEMSETTİN MAHALLESİ","18.729"
"KOCA MUSTAFAPAŞA MAHALLESİ","18.099"
"MEVLANAKAPI MAHALLESİ","17.451"
"DERVİŞ ALİ MAHALLESİ","16.606"
"YAVUZ SULTAN SELİM MAHALLESİ","15.723"
"SÜMBÜL EFENDİ MAHALLESİ","15.202"
"YEDİKULE MAHALLESİ","14.847"
"AYVANSARAY MAHALLESİ","14.799"
"SİLİVRİKAPI MAHALLESİ","14.780"
"ATİKALİ MAHALLESİ","13.329"
"ZEYREK MAHALLESİ","12.360"
"MOLLA GÜRANİ MAHALLESİ","11.701"
"İSKENDERPAŞA MAHALLESİ","11.551"
"BALAT MAHALLESİ","10.855"
"KARAGÜMRÜK MAHALLESİ","10.383"
"TOPKAPI MAHALLESİ","10.195"
"ALİ KUŞÇU MAHALLESİ","9.665"
"HASEKİ SULTAN MAHALLESİ","8.945"
"AKSARAY MAHALLESİ","8.008"
"CERRAHPAŞA MAHALLESİ","7.459"
"CİBALİ MAHALLESİ","6.721"
"NİŞANCA MAHALLESİ","4.034"
"KALENDERHANE MAHALLESİ","2.053"
"ŞEHSUVAR BEY MAHALLESİ","1.507"
"KÜÇÜK AYASOFYA MAHALLESİ","1.418"
"KATİP KASIM MAHALLESİ","1.318"
"MOLLA HÜSREV MAHALLESİ","1.291"
"MUHSİNE HATUN MAHALLESİ","1.290"
"CANKURTARAN MAHALLESİ","1.003"
"EMİN SİNAN MAHALLESİ","808"
"SARAÇ İSHAK MAHALLESİ","798"
"BİNBİRDİREK MAHALLESİ","612"
"SÜLEYMANİYE MAHALLESİ","598"
"MİMAR HAYRETTİN MAHALLESİ","472"
"KEMALPAŞA MAHALLESİ","448"
"SULTAN AHMET MAHALLESİ","444"
"HOCA GIYASETTİN MAHALLESİ","420"
"DEMİRTAŞ MAHALLESİ","305"
"HOCAPAŞA MAHALLESİ","256"
"ALEMDAR MAHALLESİ","246"
"HACI KADIN MAHALLESİ","217"
"YAVUZ SİNAN MAHALLESİ","211"
"MİMAR KEMALETTİN MAHALLESİ","184"
"BALABANAĞA MAHALLESİ","142"
"MERCAN MAHALLESİ","128"
"MESİHPAŞA MAHALLESİ","109"
"MOLLA FENARİ MAHALLESİ","92"
"TAYA HATUN MAHALLESİ","79"
"HOBYAR MAHALLESİ","72"
"SURURİ MAHALLESİ","46"
"BEYAZIT MAHALLESİ","45"
"RÜSTEMPAŞA MAHALLESİ","19"
"TAHTAKALE MAHALLESİ","13"
"SARIDEMİR MAHALLESİ","11"
