"sol","yazi_boyutu"
"KARADENİZ MAHALLESİ","71.482"
"BARBAROS HAYRETTİN PAŞA MAHALLESİ","47.603"
"KAZIM KARABEKİR MAHALLESİ","42.091"
"KARAYOLLARI MAHALLESİ","38.294"
"YENİ MAHALLE MAHALLESİ","35.415"
"MERKEZ MAHALLESİ","30.237"
"BAĞLARBAŞI MAHALLESİ","29.058"
"HÜRRİYET MAHALLESİ","27.191"
"SARIGÖL MAHALLESİ","25.213"
"ŞEMSİPAŞA MAHALLESİ","24.993"
"YILDIZTABYA MAHALLESİ","23.758"
"FEVZİ ÇAKMAK MAHALLESİ","23.032"
"MEVLANA MAHALLESİ","22.139"
"KARLITEPE MAHALLESİ","18.845"
"PAZARİÇİ MAHALLESİ","11.408"
"YENİDOĞAN MAHALLESİ","7.636"
