"sol","yazi_boyutu"
"GÖZTEPE MAHALLESİ","38.335"
"KOZYATAĞI MAHALLESİ","36.361"
"ERENKÖY MAHALLESİ","33.740"
"BOSTANCI MAHALLESİ","32.478"
"19 MAYIS MAHALLESİ","31.515"
"MERDİVENKÖY MAHALLESİ","30.728"
"SAHRAYICEDİT MAHALLESİ","29.451"
"ACIBADEM MAHALLESİ","28.143"
"SUADİYE MAHALLESİ","25.584"
"FENERYOLU MAHALLESİ","24.750"
"CAFERAĞA MAHALLESİ","21.261"
"FENERBAHÇE MAHALLESİ","20.734"
"CADDEBOSTAN MAHALLESİ","20.234"
"HASANPAŞA MAHALLESİ","16.034"
"EĞİTİM MAHALLESİ","13.008"
"FİKİRTEPE MAHALLESİ","12.308"
"RASİMPAŞA MAHALLESİ","12.082"
"DUMLUPINAR MAHALLESİ","10.158"
"ZÜHTÜPAŞA MAHALLESİ","7.570"
"OSMANAĞA MAHALLESİ","7.451"
"KOŞUYOLU MAHALLESİ","6.648"
