"sol","yazi_boyutu"
"HÜRRİYET MAHALLESİ","50.968"
"UĞUR MUMCU MAHALLESİ","39.210"
"KARLIKTEPE MAHALLESİ","33.598"
"ESENTEPE MAHALLESİ","32.087"
"ATALAR MAHALLESİ","31.567"
"PETROL İŞ MAHALLESİ","28.935"
"SOĞANLIK YENİ MAHALLESİ","27.806"
"ORHANTEPE MAHALLESİ","27.510"
"GÜMÜŞPINAR MAHALLESİ","26.581"
"CEVİZLİ MAHALLESİ","24.093"
"CUMHURİYET MAHALLESİ","23.545"
"YAKACIK YENİ MAHALLESİ","19.851"
"YAKACIK ÇARŞI MAHALLESİ","18.637"
"ORTA MAHALLESİ","18.220"
"ÇAVUŞOĞLU MAHALLESİ","14.946"
"YUNUS MAHALLESİ","13.768"
"KORDONBOYU MAHALLESİ","12.489"
"TOPSELVİ MAHALLESİ","12.435"
"YALI MAHALLESİ","12.051"
"YUKARI MAHALLESİ","7.333"
