"sol","yazi_boyutu"
"HAMİDİYE MAHALLESİ","41.128"
"SULTAN SELİM MAHALLESİ","35.245"
"MERKEZ MAHALLESİ","34.163"
"TALATPAŞA MAHALLESİ","33.119"
"ÇELİKTEPE MAHALLESİ","31.991"
"ÇAĞLAYAN MAHALLESİ","30.787"
"GÜRSEL MAHALLESİ","29.476"
"NURTEPE MAHALLESİ","26.360"
"SEYRANTEPE MAHALLESİ","24.056"
"ORTABAYIR MAHALLESİ","21.968"
"ŞİRİNTEPE MAHALLESİ","21.923"
"HARMANTEPE MAHALLESİ","21.234"
"HÜRRİYET MAHALLESİ","20.205"
"YAHYA KEMAL MAHALLESİ","16.801"
"GÜLTEPE MAHALLESİ","13.941"
"MEHMET AKİF ERSOY MAHALLESİ","12.274"
"YEŞİLCE MAHALLESİ","11.965"
"TELSİZLER MAHALLESİ","11.304"
"EMNİYET EVLERİ MAHALLESİ","8.480"
