"sol","yazi_boyutu"
"ATAKENT MAHALLESİ","107.266"
"HALKALI MERKEZ MAHALLESİ","81.277"
"İNÖNÜ MAHALLESİ","69.800"
"KANARYA MAHALLESİ","68.195"
"CUMHURİYET MAHALLESİ","52.310"
"MEHMET AKİF MAHALLESİ","51.978"
"İSTASYON MAHALLESİ","43.551"
"ATATÜRK MAHALLESİ","41.483"
"TEVFİKBEY MAHALLESİ","34.864"
"SÖĞÜTLÜ ÇEŞME MAHALLESİ","32.646"
"YEŞİLOVA MAHALLESİ","32.076"
"GÜLTEPE MAHALLESİ","28.757"
"CENNET MAHALLESİ","26.920"
"FEVZİ ÇAKMAK MAHALLESİ","26.584"
"YENİ MAHALLE MAHALLESİ","19.789"
"SULTAN MURAT MAHALLESİ","15.551"
"KARTALTEPE MAHALLESİ","14.748"
"KEMALPAŞA MAHALLESİ","14.002"
"FATİH MAHALLESİ","10.834"
"YARIMBURGAZ MAHALLESİ","8.774"
"BEŞYOL MAHALLESİ","3.865"
