"sol","yazi_boyutu"
"ZÜMRÜTEVLER MAHALLESİ","88.023"
"FINDIKLI MAHALLESİ","63.722"
"BAĞLARBAŞI MAHALLESİ","41.204"
"CEVİZLİ MAHALLESİ","41.005"
"ALTAYÇEŞME MAHALLESİ","32.318"
"ALTINTEPE MAHALLESİ","30.716"
"BAŞIBÜYÜK MAHALLESİ","25.659"
"KÜÇÜKYALI MERKEZ MAHALLESİ","25.245"
"İDEALTEPE MAHALLESİ","24.420"
"AYDINEVLER MAHALLESİ","21.185"
"ÇINAR MAHALLESİ","20.616"
"FEYZULLAH MAHALLESİ","19.597"
"GİRNE MAHALLESİ","19.579"
"ESENKENT MAHALLESİ","17.949"
"GÜLSUYU MAHALLESİ","14.593"
"GÜLENSU MAHALLESİ","13.625"
"BÜYÜKBAKKALKÖY MAHALLESİ","13.311"
"YALI MAHALLESİ","12.277"
