"sol","yazi_boyutu"
"KAVAKPINAR MAHALLESİ","65.885"
"YENİŞEHİR MAHALLESİ","65.458"
"KAYNARCA MAHALLESİ","46.198"
"VELİBABA MAHALLESİ","42.505"
"KURTKÖY MAHALLESİ","39.477"
"FEVZİ ÇAKMAK MAHALLESİ","38.271"
"ESENLER MAHALLESİ","33.574"
"GÜZELYALI MAHALLESİ","33.231"
"ÇAMÇEŞME MAHALLESİ","32.389"
"AHMET YESEVİ MAHALLESİ","31.296"
"ORHANGAZİ MAHALLESİ","27.865"
"DUMLUPINAR MAHALLESİ","26.965"
"SÜLÜNTEPE MAHALLESİ","25.750"
"ÇINARDERE MAHALLESİ","21.816"
"ÇAMLIK MAHALLESİ","21.548"
"FATİH MAHALLESİ","21.096"
"ŞEYHLİ MAHALLESİ","19.728"
"GÜLLÜ BAĞLAR MAHALLESİ","19.301"
"YENİ MAHALLESİ","16.122"
"DOĞU MAHALLESİ","14.941"
"ESENYALI MAHALLESİ","13.957"
"BATI MAHALLESİ","13.891"
"YAYALAR MAHALLESİ","13.500"
"BAHÇELİEVLER MAHALLESİ","12.627"
"ERTUĞRUL GAZİ MAHALLESİ","12.271"
"SAPAN BAĞLARI MAHALLESİ","12.225"
"HARMANDERE MAHALLESİ","10.294"
"YEŞİLBAĞLAR MAHALLESİ","7.093"
"ORTA MAHALLESİ","3.224"
"SANAYİ MAHALLESİ","2.997"
"RAMAZANOĞLU MAHALLESİ","2.429"
"GÖÇBEYLİ MAHALLESİ","1.466"
"KURNA MAHALLESİ","1.181"
"KURTDOĞMUŞ MAHALLESİ","604"
"BALLICA MAHALLESİ","591"
"EMİRLİ MAHALLESİ","267"
