"sol","yazi_boyutu"
"OSMANGAZİ MAHALLESİ","54.014"
"ABDURRAHMANGAZİ MAHALLESİ","49.460"
"FATİH MAHALLESİ","38.699"
"ATATÜRK MAHALLESİ","31.919"
"YUNUS EMRE MAHALLESİ","29.360"
"MECLİS MAHALLESİ","27.568"
"EMEK MAHALLESİ","27.320"
"VEYSEL KARANİ MAHALLESİ","26.847"
"AKPINAR MAHALLESİ","25.286"
"YENİDOĞAN MAHALLESİ","25.082"
"SAFA MAHALLESİ","25.062"
"İNÖNÜ MAHALLESİ","24.157"
"EYÜP SULTAN MAHALLESİ","24.066"
"SARIGAZİ MAHALLESİ","23.865"
"MEVLANA MAHALLESİ","22.651"
"KEMAL TÜRKLER MAHALLESİ","22.647"
"MERVE MAHALLESİ","21.451"
"HİLAL MAHALLESİ","6.277"
"PAŞAKÖY MAHALLESİ","1.769"
