"sol","yazi_boyutu"
"AYAZAĞA MAHALLESİ","34.528"
"ZEKERİYAKÖY MAHALLESİ","24.291"
"TARABYA MAHALLESİ","17.546"
"REŞİTPAŞA MAHALLESİ","16.743"
"FATİH SULTAN MEHMET MAHALLESİ","15.653"
"İSTİNYE MAHALLESİ","15.405"
"FERAHEVLER MAHALLESİ","15.013"
"YENİKÖY MAHALLESİ","14.587"
"MASLAK MAHALLESİ","14.281"
"MADEN MAHALLESİ","14.064"
"SARIYER MERKEZ MAHALLESİ","11.362"
"PINAR MAHALLESİ","10.922"
"CUMHURİYET MAHALLESİ","10.677"
"USKUMRUKÖY MAHALLESİ","10.520"
"RUMELİHİSARI MAHALLESİ","9.176"
"DARÜŞŞAFAKA MAHALLESİ","8.877"
"HUZUR MAHALLESİ","8.568"
"BÜYÜKDERE MAHALLESİ","8.192"
"EMİRGAN MAHALLESİ","7.924"
"KAZIM KARABEKİR PAŞA MAHALLESİ","7.709"
"KİREÇBURNU MAHALLESİ","6.676"
"POLİGON MAHALLESİ","6.220"
"ÇAMLITEPE MAHALLESİ","5.645"
"PTT EVLERİ MAHALLESİ","5.133"
"BAHÇEKÖY YENİ MAHALLESİ","5.041"
"BALTALİMANI MAHALLESİ","4.978"
"RUMELİFENERİ MAHALLESİ","4.679"
"ÇAYIRBAŞI MAHALLESİ","4.613"
"KOCATAŞ MAHALLESİ","4.417"
"KUMKÖY (KİLYOS) MAHALLESİ","3.949"
"RUMELİKAVAĞI MAHALLESİ","3.562"
"BAHÇEKÖY MERKEZ MAHALLESİ","3.558"
"YENİ MAHALLESİ","3.122"
"GÜMÜŞDERE MAHALLESİ","2.423"
"BAHÇEKÖY KEMER MAHALLESİ","2.258"
"DEMİRCİKÖY MAHALLESİ","1.732"
"KISIRKAYA MAHALLESİ","439"
"GARİPÇE MAHALLESİ","400"
