"sol","yazi_boyutu"
"YENİ MAHALLESİ","48.526"
"SEMİZKUMLAR MAHALLESİ","37.159"
"MİMAR SİNAN MAHALLESİ","30.443"
"SELİMPAŞA MAHALLESİ","25.813"
"ALİBEY MAHALLESİ","16.914"
"GÜMÜŞYAKA MAHALLESİ","9.930"
"CUMHURİYET MAHALLESİ","9.598"
"PİRİ MEHMET PAŞA MAHALLESİ","7.741"
"FATİH MAHALLESİ","6.667"
"ÇANTA SANCAKTEPE MAHALLESİ","6.448"
"ÇANTA BALABAN MAHALLESİ","4.885"
"ORTAKÖY MAHALLESİ","4.773"
"DEĞİRMENKÖY FEVZİPAŞA MAHALLESİ","3.706"
"DEĞİRMENKÖY İSMETPAŞA MAHALLESİ","3.453"
"BÜYÜK ÇAVUŞLU MAHALLESİ","3.268"
"KAVAKLI İSTİKLAL MAHALLESİ","2.115"
"KAVAKLI HÜRRİYET MAHALLESİ","1.743"
"FENER MAHALLESİ","1.467"
"ÇAYIRDERE MAHALLESİ","1.418"
"KADIKÖY MAHALLESİ","1.405"
"AKÖREN MAHALLESİ","1.395"
"BEYCİLER MAHALLESİ","1.380"
"BÜYÜK KILIÇLI MAHALLESİ","1.273"
"GAZİTEPE MAHALLESİ","1.212"
"DANAMANDIRA MAHALLESİ","1.128"
"ALİPAŞA MAHALLESİ","1.085"
"ÇELTİK MAHALLESİ","1.080"
"SEYMEN MAHALLESİ","1.049"
"SAYALAR MAHALLESİ","919"
"KURFALLI MAHALLESİ","552"
"BÜYÜK SİNEKLİ MAHALLESİ","418"
"YOLÇATI MAHALLESİ","382"
"KÜÇÜK KILIÇLI MAHALLESİ","312"
"BEKİRLİ MAHALLESİ","237"
"KÜÇÜK SİNEKLİ MAHALLESİ","135"
