"sol","yazi_boyutu"
"AYDINLI MAHALLESİ","77.407"
"ŞİFA MAHALLESİ","32.299"
"YAYLA MAHALLESİ","32.127"
"MİMAR SİNAN MAHALLESİ","29.105"
"AYDINTEPE MAHALLESİ","27.506"
"İSTASYON MAHALLESİ","26.825"
"POSTANE MAHALLESİ","22.776"
"EVLİYA ÇELEBİ MAHALLESİ","14.855"
"ORTA MAHALLESİ","12.054"
"İÇMELER MAHALLESİ","11.908"
"TEPEÖREN MAHALLESİ","8.028"
"CAMİ MAHALLESİ","6.070"
"MESCİT MAHALLESİ","5.760"
"AKFIRAT MAHALLESİ","3.002"
"ORHANLI MAHALLESİ","2.023"
"FATİH MAHALLESİ","1.201"
"ANADOLU MAHALLESİ","832"
