"sol","yazi_boyutu"
"FERHATPAŞA MAHALLESİ","28.499"
"KALEİÇİ MAHALLESİ","7.810"
"ÇANAKÇA MAHALLESİ","3.046"
"ÇAKIL MAHALLESİ","2.831"
"KARACAKÖY MERKEZ MAHALLESİ","2.591"
"KESTANELİK MAHALLESİ","2.503"
"GÖKÇEALİ MAHALLESİ","2.068"
"KABAKÇA MAHALLESİ","2.001"
"ÇİFTLİKKÖY MAHALLESİ","1.965"
"İHSANİYE MAHALLESİ","1.918"
"SUBAŞI MAHALLESİ","1.569"
"OKLALI MAHALLESİ","1.519"
"ATATÜRK MAHALLESİ","1.468"
"YALIKÖY MAHALLESİ","1.467"
"MURATBEY MERKEZ MAHALLESİ","1.435"
"HALLAÇLI MAHALLESİ","1.413"
"İZZETTİN MAHALLESİ","1.406"
"FATİH MAHALLESİ","1.390"
"OVAYENİCE MAHALLESİ","1.287"
"AKALAN MAHALLESİ","1.166"
"ORMANLI MAHALLESİ","1.081"
"İNCEĞİZ MAHALLESİ","1.072"
"ÖRENCİK MAHALLESİ","1.020"
"GÜMÜŞPINAR MAHALLESİ","926"
"KALFA MAHALLESİ","923"
"AYDINLAR MAHALLESİ","860"
"DAĞYENİCE MAHALLESİ","812"
"NAKKAŞ MAHALLESİ","793"
"ELBASAN MAHALLESİ","676"
"KARAMANDERE MAHALLESİ","626"
"ÖRCÜNLÜ MAHALLESİ","532"
"BAŞAK MAHALLESİ","414"
"BELGRAT MAHALLESİ","411"
"BAHŞAYİŞ MAHALLESİ","398"
"HİSARBEYLİ MAHALLESİ","368"
"YAZLIK MAHALLESİ","342"
"CELEPKÖY MAHALLESİ","283"
"KIZILCAALİ MAHALLESİ","201"
"YAYLACIK MAHALLESİ","53"
