"sol","yazi_boyutu"
"MERKEZ MAHALLESİ","33.447"
"MEHMET AKİF MAHALLESİ","33.245"
"HAMİDİYE MAHALLESİ","29.664"
"MİMAR SİNAN MAHALLESİ","27.140"
"SULTANÇİFTLİĞİ MAHALLESİ","21.027"
"AYDINLAR MAHALLESİ","20.493"
"ÇAMLIK MAHALLESİ","20.454"
"CUMHURİYET MAHALLESİ","17.528"
"GÜNGÖREN MAHALLESİ","15.599"
"ÇATALMEŞE MAHALLESİ","15.233"
"NİŞANTEPE MAHALLESİ","13.587"
"TAŞDELEN MAHALLESİ","12.849"
"EKŞİOĞLU MAHALLESİ","11.330"
"KİRAZLIDERE MAHALLESİ","10.779"
"ALEMDAĞ MAHALLESİ","10.670"
"SOĞUKPINAR MAHALLESİ","10.618"
"ÖMERLİ MAHALLESİ","5.899"
"REŞADİYE MAHALLESİ","2.953"
"KOÇULLU MAHALLESİ","1.369"
"SIRAPINAR MAHALLESİ","1.233"
"HÜSEYİNLİ MAHALLESİ","842"
