"sol","yazi_boyutu"
"İSTİKLAL MAHALLESİ","47.729"
"ARMAĞANEVLER MAHALLESİ","39.675"
"ÇAKMAK MAHALLESİ","37.696"
"İNKILAP MAHALLESİ","35.479"
"NECİP FAZIL MAHALLESİ","29.138"
"NAMIK KEMAL MAHALLESİ","28.670"
"ALTINŞEHİR MAHALLESİ","28.370"
"MEHMET AKİF MAHALLESİ","26.384"
"ESENEVLER MAHALLESİ","26.274"
"ÇAMLIK MAHALLESİ","24.194"
"ATATÜRK MAHALLESİ","23.972"
"TATLISU MAHALLESİ","23.473"
"ELMALIKENT MAHALLESİ","22.509"
"CEMİL MERİÇ MAHALLESİ","21.995"
"YUKARI DUDULLU MAHALLESİ","21.576"
"ESENKENT MAHALLESİ","21.558"
"SİTE MAHALLESİ","21.536"
"ESENŞEHİR MAHALLESİ","20.651"
"ATAKENT MAHALLESİ","20.091"
"YAMANEVLER MAHALLESİ","19.270"
"ADEM YAVUZ MAHALLESİ","16.699"
"MADENLER MAHALLESİ","16.003"
"PARSELLER MAHALLESİ","15.839"
"IHLAMURKUYU MAHALLESİ","15.817"
"KAZIM KARABEKİR MAHALLESİ","15.635"
"AŞAĞI DUDULLU MAHALLESİ","15.527"
"TEPEÜSTÜ MAHALLESİ","13.142"
"TOPAĞACI MAHALLESİ","13.141"
"HUZUR MAHALLESİ","12.230"
"TANTAVİ MAHALLESİ","11.942"
"DUMLUPINAR MAHALLESİ","11.793"
"ŞERİFALİ MAHALLESİ","9.854"
"FİNANSKENT MAHALLESİ","8.861"
"HEKİMBAŞI MAHALLESİ","7.403"
"FATİH SULTAN MEHMET MAHALLESİ","4.657"
