"sol","yazi_boyutu"
"CUMHURİYET MAHALLESİ","37.392"
"ÜNALAN MAHALLESİ","34.492"
"YAVUZTÜRK MAHALLESİ","30.818"
"BULGURLU MAHALLESİ","30.419"
"ACIBADEM MAHALLESİ","24.109"
"BAHÇELİEVLER MAHALLESİ","23.376"
"FERAH MAHALLESİ","21.588"
"KISIKLI MAHALLESİ","19.905"
"VALİDE-İ ATİK MAHALLESİ","19.455"
"KÜÇÜKSU MAHALLESİ","18.707"
"MEHMET AKİF ERSOY MAHALLESİ","18.182"
"BURHANİYE MAHALLESİ","16.981"
"BARBAROS MAHALLESİ","16.742"
"KÜPLÜCE MAHALLESİ","16.577"
"İCADİYE MAHALLESİ","15.185"
"MURATREİS MAHALLESİ","13.566"
"GÜZELTEPE MAHALLESİ","13.541"
"ÇENGELKÖY MAHALLESİ","13.272"
"SELAMİ ALİ MAHALLESİ","12.874"
"ALTUNİZADE MAHALLESİ","12.608"
"ZEYNEP KAMİL MAHALLESİ","11.525"
"MİMAR SİNAN MAHALLESİ","11.364"
"KİRAZLITEPE MAHALLESİ","11.075"
"KÜÇÜK ÇAMLICA MAHALLESİ","10.955"
"SULTANTEPE MAHALLESİ","10.543"
"SALACAK MAHALLESİ","9.212"
"SELİMİYE MAHALLESİ","8.611"
"AZİZ MAHMUT HÜDAYİ MAHALLESİ","8.566"
"AHMEDİYE MAHALLESİ","8.180"
"BEYLERBEYİ MAHALLESİ","5.169"
"KULELİ MAHALLESİ","4.064"
"KUZGUNCUK MAHALLESİ","3.827"
"KANDİLLİ MAHALLESİ","1.414"
