"sol","yazi_boyutu"
"ÇAVUŞ MAHALLESİ","13.106"
"BALİBEY MAHALLESİ","4.197"
"AHMETLİ MAHALLESİ","3.497"
"MEŞRUTİYET MAHALLESİ","2.484"
"AĞVA MERKEZ MAHALLESİ","2.239"
"KUMBABA MAHALLESİ","1.710"
"ÇAYIRBAŞI MAHALLESİ","1.555"
"SAHİLKÖY MAHALLESİ","1.078"
"HACI KASIM MAHALLESİ","1.063"
"DOĞANCILI MAHALLESİ","948"
"GÖÇE MAHALLESİ","871"
"KABAKOZ MAHALLESİ","790"
"KIZILCA MAHALLESİ","738"
"GEREDELİ MAHALLESİ","730"
"ALACALI MAHALLESİ","681"
"DEĞİRMENÇAYIRI MAHALLESİ","614"
"ÜVEZLİ MAHALLESİ","571"
"TEKE MAHALLESİ","524"
"AKÇAKESE MAHALLESİ","518"
"YENİKÖY MAHALLESİ","479"
"İMRENDERE MAHALLESİ","469"
"ORUÇOĞLU MAHALLESİ","456"
"SATMAZLI MAHALLESİ","453"
"KERVANSARAY MAHALLESİ","430"
"İMRENLİ MAHALLESİ","412"
"BUCAKLI MAHALLESİ","400"
"KARAMANDERE MAHALLESİ","375"
"BIÇKIDERE MAHALLESİ","364"
"SOFULAR MAHALLESİ","362"
"KARACAKÖY MAHALLESİ","352"
"KALEM MAHALLESİ","349"
"KURFALLI MAHALLESİ","330"
"YAKA MAHALLESİ","328"
"YEŞİLVADİ MAHALLESİ","326"
"KARAKİRAZ MAHALLESİ","320"
"GÖKSU MAHALLESİ","307"
"OSMANKÖY MAHALLESİ","306"
"HASANLI MAHALLESİ","303"
"ŞUAYİPLİ MAHALLESİ","303"
"İSAKÖY MAHALLESİ","286"
"KURNA MAHALLESİ","279"
"HACILLI MAHALLESİ","274"
"ÇELEBİ MAHALLESİ","265"
"KÖMÜRLÜK MAHALLESİ","258"
"KADIKÖY MAHALLESİ","252"
"ÇATAKLI MAHALLESİ","248"
"KORUCU MAHALLESİ","245"
"ULUPELİT MAHALLESİ","242"
"KARABEYLİ MAHALLESİ","239"
"ERENLER MAHALLESİ","232"
"GÖKMAŞLI MAHALLESİ","230"
"ÇENGİLLİ MAHALLESİ","226"
"YAZIMANAYIR MAHALLESİ","201"
"SOĞULLU MAHALLESİ","196"
"DARLIK MAHALLESİ","193"
"OVACIK MAHALLESİ","164"
"SORTULLU MAHALLESİ","159"
"BOZGOCA MAHALLESİ","135"
"AĞAÇDERE MAHALLESİ","129"
"AVCIKORU MAHALLESİ","129"
"ESENCELİ MAHALLESİ","100"
"YAYLALI MAHALLESİ","70"
