"sol","yazi_boyutu"
"GÜLBAHAR MAHALLESİ","22.921"
"MECİDİYEKÖY MAHALLESİ","19.289"
"PAŞA MAHALLESİ","18.827"
"MAHMUT ŞEVKET PAŞA MAHALLESİ","18.074"
"HALİDE EDİP ADIVAR MAHALLESİ","16.468"
"FULYA MAHALLESİ","16.382"
"KUŞTEPE MAHALLESİ","14.678"
"FERİKÖY MAHALLESİ","13.456"
"MERKEZ MAHALLESİ","13.206"
"ESKİŞEHİR MAHALLESİ","11.231"
"YAYLA MAHALLESİ","11.125"
"19 MAYIS MAHALLESİ","10.703"
"TEŞVİKİYE MAHALLESİ","10.541"
"BOZKURT MAHALLESİ","9.649"
"CUMHURİYET MAHALLESİ","7.635"
"İZZET PAŞA MAHALLESİ","7.444"
"DUATEPE MAHALLESİ","7.388"
"ESENTEPE MAHALLESİ","7.038"
"MEŞRUTİYET MAHALLESİ","6.920"
"HALİL RIFAT PAŞA MAHALLESİ","6.594"
"İNÖNÜ MAHALLESİ","3.207"
"KAPTANPAŞA MAHALLESİ","3.059"
"ERGENEKON MAHALLESİ","2.287"
"HARBİYE MAHALLESİ","2.225"
"HALASKARGAZİ MAHALLESİ","1.612"
